RID,Reaction Link,Records,Reactants,Products,Reactants_List,Products_List,Reactants_SIDs_List,Products_SIDs_List,Products_Available,Status_50,Status_75,Status_100,ReactionOrder,ActivationEnergy,ReactantCID,ProductCID,FeatureVector
776,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=60528769&r1=60528769&r2=0&r3=0&r4=0&p0=74862&p1=12385136&p2=12385136&p3=0&p4=0&expandResults=true&,2,Â·CH2 + Â·CH2,C2H2 + HÂ· + HÂ·,"['·CH2', '·CH2']","['C2H2', 'H·', 'H·']","[10972, 10972]","[3537, 8457, 8457]",TRUE,TRUE,TRUE,TRUE,2,46000,"[123164, 123164]","[6326, 5362549, 5362549]","[ 0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 -2.  2.  0.  0.  0.  0.]"
777,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=60528769&r1=60528769&r2=0&r3=0&r4=0&p0=74862&p1=1333740&p2=0&p3=0&p4=0&expandResults=true&,3,Â·CH2 + Â·CH2,C2H2 + H2,"['·CH2', '·CH2']","['C2H2', 'H2']","[10972, 10972]","[3537, 7937]",TRUE,TRUE,TRUE,TRUE,2,50000,"[123164, 123164]","[6326, 783]","[-1.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  2.  0.  0.  0.  0.]"
780,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=60528769&r1=0&r2=0&r3=0&r4=0&p0=3315375&p1=12385136&p2=0&p3=0&p4=0&expandResults=true&,2,Â·CH2,Â·CH + HÂ·,['·CH2'],"['·CH', 'H·']",[10972],"[10960, 8457]",TRUE,TRUE,TRUE,TRUE,2,361500,[123164],"[-1, 5362549]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. -1.
 -1.  1.  0.  0.  0.  0.]"
781,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=60528769&r1=0&r2=0&r3=0&r4=0&p0=1333740&p1=7440440&p2=0&p3=0&p4=0&expandResults=true&,2,Â·CH2,H2 + C,['·CH2'],"['H2', 'C']",[10972],"[7937, 3419]",TRUE,TRUE,TRUE,TRUE,2,257500,[123164],"[783, 5462310]","[-1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]"
1594,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=22537151&r1=60528769&r2=0&r3=0&r4=0&p0=3315375&p1=7647010&p2=0&p3=0&p4=0&expandResults=true&,1,Â·Cl + Â·CH2,Â·CH + HCl,"['·Cl', '·CH2']","['·CH', 'HCl']","[11174, 10972]","[10960, 8171]",TRUE,TRUE,TRUE,TRUE,2,106000,"[5360523, 123164]","[-1, 313]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  1.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0. -1.
  0.  1.  0.  0.  0.  1.]"
1638,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=22537151&r1=22537151&r2=0&r3=0&r4=0&p0=7782505&p1=0&p2=0&p3=0&p4=0&expandResults=true&,52,Â·Cl + Â·Cl,Cl2,"['·Cl', '·Cl']",['Cl2'],"[11174, 11174]",[6906],TRUE,TRUE,TRUE,TRUE,3,-6682.588235,"[5360523, 5360523]",[24526],"[ 0.  0.  0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  2.]"
1653,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=22400266&r1=22400266&r2=0&r3=0&r4=0&p0=630080&p1=630080&p2=7727379&p3=0&p4=0&expandResults=true&,3,NCO + NCO,CO + CO + N2,"['NCO', 'NCO']","['CO', 'CO', 'N2']","[8743, 8743]","[6775, 6775, 8692]",TRUE,TRUE,TRUE,TRUE,2,,"[140912, 140912]","[281, 281, 947]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  2.  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.
  0.  0.  2.  0.  0.  0.]"
1654,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=22400266&r1=0&r2=0&r3=0&r4=0&p0=630080&p1=17778880&p2=0&p3=0&p4=0&expandResults=true&,9,NCO,CO + N,['NCO'],"['CO', 'N']",[8743],"[6775, 8651]",TRUE,TRUE,TRUE,TRUE,2,213000,[140912],"[281, 57370662]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]"
1913,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=17778880&r1=60528769&r2=0&r3=0&r4=0&p0=3315375&p1=13774920&p2=0&p3=0&p4=0&expandResults=true&,1,N + Â·CH2,Â·CH + NH,"['N', '·CH2']","['·CH', 'NH']","[8651, 10972]","[10960, 8767]",TRUE,TRUE,TRUE,TRUE,2,170000,"[57370662, 123164]","[-1, 5460607]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  1. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. -1.
  0.  1.  0.  0.  0.  0.]"
1916,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=17778880&r1=22400266&r2=0&r3=0&r4=0&p0=630080&p1=7727379&p2=0&p3=0&p4=0&expandResults=true&,4,N + NCO,CO + N2,"['N', 'NCO']","['CO', 'N2']","[8651, 8743]","[6775, 8692]",TRUE,TRUE,TRUE,TRUE,2,,"[57370662, 140912]","[281, 947]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.
  0.  0.  2.  0.  0.  0.]"
1917,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=17778880&r1=22400266&r2=0&r3=0&r4=0&p0=57125&p1=10102439&p2=0&p3=0&p4=0&expandResults=true&,2,N + NCO,CN + NO,"['N', 'NCO']","['CN', 'NO']","[8651, 8743]","[6759, 8814]",TRUE,TRUE,TRUE,TRUE,2,,"[57370662, 140912]","[5975, 145068]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  1.  0.  0.  0.]"
1919,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=17778880&r1=17778880&r2=0&r3=0&r4=0&p0=7727379&p1=0&p2=0&p3=0&p4=0&expandResults=true&,39,N + N,N2,"['N', 'N']",['N2'],"[8651, 8651]",[8692],TRUE,TRUE,TRUE,TRUE,3,-7742.375,"[57370662, 57370662]",[947],"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.
  0.  0.  2.  0.  0.  0.]"
1926,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=17778802&r1=60528769&r2=0&r3=0&r4=0&p0=3315375&p1=3352576&p2=0&p3=0&p4=0&expandResults=true&,1,OÂ· + Â·CH2,Â·CH + Â·OH,"['O·', '·CH2']","['·CH', '·OH']","[9109, 10972]","[10960, 11206]",TRUE,TRUE,TRUE,TRUE,2,,"[159832, 123164]","[-1, 157350]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  1.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. -1.
  0.  1.  0.  0.  0.  0.]"
